query,original_url,archive_url,title,snippet,archive_date,year
desenvolvimento rural,http://www.infocid.pt/SIAE/HTML/010-1260.html,https://arquivo.pt/wayback/19961107020601/http://www.infocid.pt/SIAE/HTML/010-1260.html,PPDR - Acções de Desenvolvimento Rural,"PPDR - Ac&ccedil;&otilde;es de <em>Desenvolvimento</em> <em>Rural</em> Programa/Ac&ccedil;&atilde;o: PPDR - Ac&ccedil;&otilde;es de <em>Desenvolvimento</em> <em>Rural</em> Objectivos: Valoriza&ccedil;&atilde;o das caracter&iacute;sticas patrimoniais e elementos de interesse hist&oacute;rico-cultural<span class=""ellipsis""> ... </span> <em>Desenvolvimento</em>. Legisla&ccedil;&atilde;o Aplic&aacute;vel: Decreto-Lei n&ordm; 34/95, de 11 de Fevereiro. Resol.Conselho Ministros<span class=""ellipsis""> ... </span>",0847332361,1996
desenvolvimento rural,http://www.infocid.pt/SIAE/HTML/010-1110.html,https://arquivo.pt/wayback/19961107020248/http://www.infocid.pt/SIAE/HTML/010-1110.html,INTERREG II - Agricultura e Desenvolvimento Rural,"INTERREG II - Agricultura e <em>Desenvolvimento</em> <em>Rural</em> Programa/Ac&ccedil;&atilde;o: INTERREG II - Agricultura e <em>Desenvolvimento</em> <em>Rural</em> Objectivos: . Promover a valoriza&ccedil;&atilde;o das potencialidades espec&iacute;ficas das zonas<span class=""ellipsis""> ... </span> comuns); . Dinamiza&ccedil;&atilde;o local e <em>rural</em> (estudos, grupos de ac&ccedil;&atilde;o local e promo&ccedil;&atilde;o do <em>desenvolvimento</em><span class=""ellipsis""> ... </span>",0847332168,1996
desenvolvimento rural,http://www.partido-socialista.pt/ps/contrato/cap3.htm,https://arquivo.pt/wayback/19961013180612/http://www.partido-socialista.pt/ps/contrato/cap3.htm,DESENVOLVIMENTO E EMPREGO," <em>desenvolvimento</em> <em>rural</em>; de desenvolver uma nova pol&iacute;tica para as cidades; de lan&ccedil;ar as bases de um pacto para a<span class=""ellipsis""> ... </span> <em>desenvolvimento</em> do Mundo <em>Rural</em>. A agricultura &eacute; nessas &aacute;reas uma actividade fundamental a preservar e<span class=""ellipsis""> ... </span> ambiente. A nova pol&iacute;tica para o <em>Desenvolvimento</em> do Mundo <em>Rural</em> e para a Agricultura apoiar-se-&aacute; no<span class=""ellipsis""> ... </span>",0845229972,1996
desenvolvimento rural,http://www.partido-socialista.pt/ps/programa/parte2.htm,https://arquivo.pt/wayback/19961013180606/http://www.partido-socialista.pt/ps/programa/parte2.htm,Economia e Desenvolvimento,"Economia e <em>Desenvolvimento</em> PARTE 2 - ECONOMIA E <em>DESENVOLVIMENTO</em> Cap&iacute;tulo I - A Oportunidade Perdida<span class=""ellipsis""> ... </span> processo de <em>desenvolvimento</em> e a economia nacionais encontram-se numa encruzilhada. A op&ccedil;&atilde;o &eacute; entre<span class=""ellipsis""> ... </span> bases s&oacute;lidas para um <em>desenvolvimento</em> sustent&aacute;vel; ou mudar de rumo, assentando a moderniza&ccedil;&atilde;o da<span class=""ellipsis""> ... </span>",0845229966,1996
desenvolvimento rural,http://www.tc-portugal.pt/,https://arquivo.pt/wayback/19961227005052/http://www.tc-portugal.pt/,TCP - Telecentros Rurais de Portugal," Estruturas Agr&aacute;rias e <em>Desenvolvimento</em> <em>Rural</em> ( IEADR ) Instituto do Emprego e Forma&ccedil;&atilde;o Profissional ( IEFP<span class=""ellipsis""> ... </span> Agricultura Biol&oacute;gica ( AGROBIO ) Associa&ccedil;&atilde;o de <em>Desenvolvimento</em> <em>Rural</em> de Basto ( PROBASTO ) Associa&ccedil;&atilde;o<span class=""ellipsis""> ... </span> <em>Desenvolvimento</em> e Turismo do Norte Alentejo - ADT/NA Instrumento Financeiro para a Pol&iacute;tica Comunit&aacute;ria de<span class=""ellipsis""> ... </span>",0851647852,1996
desenvolvimento rural,http://grupo.bfe.pt/boletim/bgbfe12/p31.html,https://arquivo.pt/wayback/19961123111543/http://grupo.bfe.pt/boletim/bgbfe12/p31.html,BOLETIM GRUPO BFE - Página 31,"-se ac&ccedil;&otilde;es de <em>desenvolvimento</em> local e <em>rural</em> atrav&eacute;s da valoriza&ccedil;&atilde;o da base produtiva da reanima&ccedil;&atilde;o<span class=""ellipsis""> ... </span> Potencial de <em>Desenvolvimento</em> Regional s&atilde;o: <em>Desenvolvimento</em> <em>Rural</em> e Local: Autarquias, investidores privados<span class=""ellipsis""> ... </span> dinamiza&ccedil;&atilde;o econ&oacute;mica: apoio ao <em>desenvolvimento</em> econ&oacute;mico e assist&ecirc;ncia t&eacute;cnica cujos objectivos s&atilde;o o<span class=""ellipsis""> ... </span>",0848747743,1996
desenvolvimento rural,http://euroinfo.ce.pt/fontes/indiceC4.html,https://arquivo.pt/wayback/19961031122255/http://euroinfo.ce.pt/fontes/indiceC4.html,EIP - Fontes de Informação sobre a União Europeia," Direc&ccedil;&atilde;o Geral VI-Agricultura Direc&ccedil;&atilde;o F.I/1-<em>Desenvolvimento</em> <em>rural</em> I Michael Laine Rue de la Loi, 200 B<span class=""ellipsis""> ... </span> Agr&aacute;rias e <em>Desenvolvimento</em> <em>Rural</em> (IEADR) Avenida Afonso Costa, 3 1 900 Lisboa Tel: (01) 847 01 60 Fax<span class=""ellipsis""> ... </span> nacional: DGDR-Direc&ccedil;&atilde;o-Geral do <em>Desenvolvimento</em> Regional Avenida D.Carlos I, 126-7&ordm; 1 200 Lisboa Tel: (01<span class=""ellipsis""> ... </span>",0846764575,1996
desenvolvimento rural,http://www.dn.pt/ige/tex6ige.htm,https://arquivo.pt/wayback/19961102132622/http://www.dn.pt/ige/tex6ige.htm,DN-Sociedade," desafiar os pa&iacute;ses a relan&ccedil;ar o <em>desenvolvimento</em> <em>rural</em>, de forma a tornar a agricultura mais rent&aacute;vel<span class=""ellipsis""> ... </span> subdesenvolvidos - a que se passou a chamar &laquo;em vias de <em>desenvolvimento</em>&raquo; - sofre de fome, mas esta calamidade j&aacute; h&aacute; muito que deixou de ser apan&aacute;gio apenas dos pa&iacute;ses tradicionalmente pobres. A chave <em>rural</em> O<span class=""ellipsis""> ... </span>",0846941182,1996
desenvolvimento rural,http://snig.cnig.pt/snig/SNIG_total.html,https://arquivo.pt/wayback/19961013213522/http://snig.cnig.pt/snig/SNIG_total.html,SNIG Cover Page," <em>Desenvolvimento</em> <em>Rural</em> IF-Instituto Florestal IGeoE-Instituto Geogr&aacute;fico do Ex&eacute;rcito IGM-Instituto Geol&oacute;gico<span class=""ellipsis""> ... </span> e <em>Desenvolvimento</em> Urbano DGP-Direc&ccedil;&atilde;o Geral das Pescas DGT-Direc&ccedil;&atilde;o Geral de Turismo INAG-Instituto<span class=""ellipsis""> ... </span>",0845242522,1996
desenvolvimento rural,http://www.consiste.pt/hidronet/enderec5.htm,https://arquivo.pt/wayback/19961013210824/http://www.consiste.pt/hidronet/enderec5.htm,Projecto HidroNet - Endereço 5," el&eacute;ctrica (centrais hidro e termoel&eacute;ctricas) . <em>Desenvolvimento</em> <em>rural</em> (estruturas de enquadramento<span class=""ellipsis""> ... </span> de actividade: Planeamento paisag&iacute;stico, biof&iacute;sico, urbano e <em>rural</em>. Conserva&ccedil;&atilde;o da Natureza<span class=""ellipsis""> ... </span>: Concep&ccedil;&atilde;o e <em>desenvolvimento</em> de projectos de comunica&ccedil;&atilde;o e educa&ccedil;&atilde;o ambiental, nomeadamente<span class=""ellipsis""> ... </span>",0845240904,1996
